country,year,gender,sector,education_level,avg_monthly_wage,hours_worked,age_group,data_source,wage_gap_pct,notes,reliability
North Macedonia,2023,Female,All,High School,96500,165,All,Statistical Office Serbia,26.7,Higher education workers,OFFICIAL
North Macedonia,2023,Male,All,High School,131600,165,All,Statistical Office Serbia,26.7,Higher education workers,OFFICIAL
Serbia,2009,Female,All,All,35000,160,All,Statistical Office Serbia,3.53,Historical baseline - smallest gap,OFFICIAL
Serbia,2009,Male,All,All,36300,160,All,Statistical Office Serbia,3.53,Historical baseline,OFFICIAL
Serbia,2012,Female,All,All,36500,160,All,Research estimate,8.0,Early 2010s,RESEARCH
Serbia,2012,Male,All,All,39700,160,All,Research estimate,8.0,Early 2010s,RESEARCH
Serbia,2015,Female,All,All,37000,160,All,ILO/Eurostat,5.7,Mid-decade hourly wage gap,OFFICIAL
Serbia,2015,Male,All,All,39200,160,All,ILO/Eurostat,5.7,Mid-decade hourly wage gap,OFFICIAL
Serbia,2016,Female,Public,University,37500,160,25-34,Research estimate,10.5,Public sector mid-decade,RESEARCH
Serbia,2016,Male,Public,University,41900,160,25-34,Research estimate,10.5,Public sector mid-decade,RESEARCH
Serbia,2017,Female,All,University,37800,162,25-34,Research estimate,11.2,University educated,RESEARCH
Serbia,2017,Male,All,University,42600,162,25-34,Research estimate,11.2,University educated,RESEARCH
Serbia,2018,Female,All,All,38500,160,All,World Bank data,10.8,Pre-COVID baseline,RESEARCH
Serbia,2018,Male,All,All,43200,160,All,World Bank data,10.8,Pre-COVID baseline,RESEARCH
Serbia,2019,Female,All,All,39000,160,All,ILO SILC survey,10.9,Log hourly wage 0.109 lower,OFFICIAL
Serbia,2019,Male,All,All,43700,160,All,ILO SILC survey,10.9,Log hourly wage 0.109 lower,OFFICIAL
Serbia,2020,Female,Public,University,38000,160,25-34,Sample data,19.1,COVID year,ESTIMATE
Serbia,2020,Male,Public,University,47000,160,25-34,Sample data,19.1,COVID year,ESTIMATE
Serbia,2020,Female,All,All,39500,161,All,ILO SILC survey,9.8,Log hourly wage 0.098 lower,OFFICIAL
Serbia,2020,Male,All,All,43800,161,All,ILO SILC survey,9.8,Log hourly wage 0.098 lower,OFFICIAL
Serbia,2021,Female,Private,University,36000,165,25-34,Sample data,25.0,Private sector recovery,ESTIMATE
Serbia,2021,Male,Private,University,48000,165,25-34,Sample data,25.0,Private sector recovery,ESTIMATE
Serbia,2021,Female,Public,University,39500,160,35-44,Research estimate,12.0,Public sector mid-career,RESEARCH
Serbia,2021,Male,Public,University,44900,160,35-44,Research estimate,12.0,Public sector mid-career,RESEARCH
Serbia,2022,Female,Public,High School,25000,160,35-44,Sample data,21.9,Vocational public sector,ESTIMATE
Serbia,2022,Male,Public,High School,32000,160,35-44,Sample data,21.9,Vocational public sector,ESTIMATE
Serbia,2022,Female,All,All,40000,161,All,Statistical Office estimate,11.0,Adjusted gap,ESTIMATE
Serbia,2022,Male,All,All,44900,161,All,Statistical Office estimate,11.0,Adjusted gap,ESTIMATE
Serbia,2023,Female,All,All,41000,160,All,World Bank estimate,12.5,Recent estimate,RESEARCH
Serbia,2023,Male,All,All,46900,160,All,World Bank estimate,12.5,Recent estimate,RESEARCH
Serbia,2023,Female,All,High School,69700,165,20-24,Statistical Office Serbia,9.1,Young workers vocational,OFFICIAL
Serbia,2023,Male,All,High School,76700,165,20-24,Statistical Office Serbia,9.1,Young workers vocational,OFFICIAL
Serbia,2024,Female,All,All,42000,160,All,Statistical Office Serbia,13.8,Latest available,OFFICIAL
Serbia,2024,Male,All,All,48700,160,All,Statistical Office Serbia,13.8,Latest available,OFFICIAL
Serbia,2024,Female,All,All,59400,165,15-19,Statistical Office Serbia,8.3,Youngest workers,OFFICIAL
Serbia,2024,Male,All,All,64800,165,15-19,Statistical Office Serbia,8.3,Youngest workers,OFFICIAL
Serbia,2024,Female,All,All,67800,162,35-39,Statistical Office Serbia,20.19,Peak gap age group,OFFICIAL
Serbia,2024,Male,All,All,85000,162,35-39,Statistical Office Serbia,20.19,Peak gap age group,OFFICIAL
Montenegro,2016,Female,Private,University,34000,162,25-34,Research estimate,16.5,Mid-decade,RESEARCH
Montenegro,2016,Male,Private,University,40700,162,25-34,Research estimate,16.5,Mid-decade,RESEARCH
Montenegro,2018,Female,All,University,35000,162,25-34,Eurostat estimate,16.3,Pre-2020,OFFICIAL
Montenegro,2018,Male,All,University,41800,162,25-34,Eurostat estimate,16.3,Pre-2020,OFFICIAL
Montenegro,2020,Female,All,University,36000,162,All,World Bank estimate,16.2,COVID year,RESEARCH
Montenegro,2020,Male,All,University,42900,162,All,World Bank estimate,16.2,COVID year,RESEARCH
Montenegro,2022,Female,Private,University,37000,162,25-34,Sample data,19.6,Recent data,ESTIMATE
Montenegro,2022,Male,Private,University,46000,162,25-34,Sample data,19.6,Recent data,ESTIMATE
Montenegro,2023,Female,All,University,38000,162,All,Research estimate,16.1,Latest - adjusted gap,RESEARCH
Montenegro,2023,Male,All,University,45300,162,All,Research estimate,16.1,Latest - adjusted gap,RESEARCH
