country,year,gender,sector,education_level,avg_monthly_wage,hours_worked,age_group,data_source,wage_gap_pct,notes,reliability
Croatia,2023,Female,All,All,46300.0,160,All,Eurostat,7.4,Eurostat official 2023,OFFICIAL
Croatia,2023,Male,All,All,50000.0,160,All,Eurostat,7.4,Eurostat official 2023,OFFICIAL
Croatia,2022,Female,All,All,44400.0,160,All,Eurostat,11.2,Eurostat official 2022,OFFICIAL
Croatia,2022,Male,All,All,50000.0,160,All,Eurostat,11.2,Eurostat official 2022,OFFICIAL
Croatia,2021,Female,All,All,44250.0,160,All,Eurostat,11.5,Eurostat official 2021,OFFICIAL
Croatia,2021,Male,All,All,50000.0,160,All,Eurostat,11.5,Eurostat official 2021,OFFICIAL
Romania,2023,Female,All,All,48100.0,160,All,Eurostat,3.8,Eurostat official 2023,OFFICIAL
Romania,2023,Male,All,All,50000.0,160,All,Eurostat,3.8,Eurostat official 2023,OFFICIAL
Romania,2022,Female,All,All,48200.0,160,All,Eurostat,3.6,Eurostat official 2022,OFFICIAL
Romania,2022,Male,All,All,50000.0,160,All,Eurostat,3.6,Eurostat official 2022,OFFICIAL
Romania,2021,Female,All,All,48200.0,160,All,Eurostat,3.6,Eurostat official 2021,OFFICIAL
Romania,2021,Male,All,All,50000.0,160,All,Eurostat,3.6,Eurostat official 2021,OFFICIAL
Bulgaria,2023,Female,All,All,43250.0,160,All,Eurostat,13.5,Eurostat official 2023,OFFICIAL
Bulgaria,2023,Male,All,All,50000.0,160,All,Eurostat,13.5,Eurostat official 2023,OFFICIAL
Bulgaria,2022,Female,All,All,43650.0,160,All,Eurostat,12.7,Eurostat official 2022,OFFICIAL
Bulgaria,2022,Male,All,All,50000.0,160,All,Eurostat,12.7,Eurostat official 2022,OFFICIAL
Bulgaria,2021,Female,All,All,43900.0,160,All,Eurostat,12.2,Eurostat official 2021,OFFICIAL
Bulgaria,2021,Male,All,All,50000.0,160,All,Eurostat,12.2,Eurostat official 2021,OFFICIAL
Greece,2023,Female,All,All,43200.0,160,All,Eurostat,13.6,Eurostat official 2023,OFFICIAL
Greece,2023,Male,All,All,50000.0,160,All,Eurostat,13.6,Eurostat official 2023,OFFICIAL
Greece,2022,Female,All,All,45300.0,160,All,Eurostat,9.4,Eurostat official 2022,OFFICIAL
Greece,2022,Male,All,All,50000.0,160,All,Eurostat,9.4,Eurostat official 2022,OFFICIAL
Greece,2021,Female,All,All,44800.0,160,All,Eurostat,10.4,Eurostat official 2021,OFFICIAL
Greece,2021,Male,All,All,50000.0,160,All,Eurostat,10.4,Eurostat official 2021,OFFICIAL
